B00,King's Pawn Opening; B00,e2e4,
A80,"Janzen-Korchnoi Gambit, Dutch",d2d4 f7f5 h2h3 g8f6 g2g4,
A80,"Raphael Variation, Dutch",d2d4 f7f5 b1c3,
A80,"Kingfisher Gambit, Dutch",d2d4 f7f5 b1c3 d7d5 e2e4,
A80,"Spielmann Gambit, Dutch",d2d4 f7f5 b1c3 g8f6 g2g4,
A80,"Barcza Variation, Dutch",d2d4 f7f5 g1f3 g8f6 c2c3,
A80,"Alapin; Ulvestad; Manhattan; Kmoch Variation, Dutch",d2d4 f7f5 d1d3,
A80,"Anti-Stonewall, Dutch",d2d4 f7f5 d1d3 d7d5 g2g4,
A80,"Anti-Modern, Dutch",d2d4 f7f5 d1d3 d7d6 g2g4,
A80,"Anti-Classical Line, Dutch",d2d4 f7f5 d1d3 e7e6 g2g4,
A80,"Anti-Leningrad Variation, Dutch",d2d4 f7f5 d1d3 g7g6 g2g4,
A80,"Manhattan Gambit, Dutch",d2d4 f7f5 d1d3 g8f6 g2g4,
A80,"Pretzel Gambit, Dutch",d2d4 f7f5 d1d3 g8f6 g2g4,
A40,Borg Gambit,d2d4 g7g5,
A40,Queen Pawn Fianchetto,d2d4 g7g6,
A40,Kotov-Robatsch Defense,d2d4 g7g6 c2c4 f8g7,
A40,Pseudo-Saemisch,d2d4 g7g6 c2c4 f8g7 e2e4 d7d6 c1e3 g8f6 f2f3,
A40,Rossolimo Variation,d2d4 g7g6 c2c4 f8g7 e2e4 d7d6 g1f3 c8g4,
A40,Neo-Modern Defense,d2d4 g7g6 c2c4 f8g7 e2e4 e7e5,
A40,Beefeater Variation,d2d4 g7g6 c2c4 f8g7 b1c3 c7c5 d4d5 g7c3 b2c3 f7f5,
A40,Modern Defense,d2d4 g7g6 c2c4 f8g7 b1c3 d7d6,
A41,"Averbakh Variation, Modern",d2d4 g7g6 c2c4 f8g7 b1c3 d7d6 e2e4,
A41,"Pterodactyl Variation, Modern",d2d4 g7g6 c2c4 f8g7 b1c3 d7d6 e2e4 c7c5 g1f3 d8a5,
A42,Randspringer Variation,d2d4 g7g6 c2c4 f8g7 b1c3 d7d6 e2e4 f7f5,
A40,"Kotov Variation, Modern",d2d4 g7g6 c2c4 f8g7 b1c3 d7d6 e2e4 b8c6,
A40,Lizard Defense; Pirc-Diemer Gambit,d2d4 g7g6 h2h4 g8f6 h4h5,
A40,Bogoljubov; Mikenas-Van Geet Defense,d2d4 b8c6,
A40,Lundin Defense,d2d4 b8c6,
A40,"Lithuanian Variation, Mikenas",d2d4 b8c6 c2c4 e7e5 d4d5 c6e7,
A40,"Cannstatter Variation, Mikenas",d2d4 b8c6 c2c4 e7e5 d4d5 c6d4,
A40,Pozarek Gambit,d2d4 b8c6 c2c4 e7e5 d4e5 c6e5 b1c3 e5c4,
A40,Montevideo Defense,d2d4 b8c6 d4d5 c6b8,
A40,Zaire Defense,d2d4 b8c6 d4d5 c6b8 e2e4 g8f6 e4e5 f6g8,
A45,Indian Defense; A45,d2d4 g8f6,
A45,Basque Opening,d2d4 g8f6 b2b3,
A45,Trompowsky; Opocensky; Ruth Opening,d2d4 g8f6 c1g5,
A45,"Poisoned Pawn Variation, Trompowsky",d2d4 g8f6 c1g5 c7c5 d4d5 d8b6 b1c3,
A45,Chepukaitis Gambit,d2d4 g8f6 c1g5 c7c5 d4d5 d8b6 b1c3 b6b2 g5d2 b2b6,
A45,"Borg Variation, Trompowsky",d2d4 g8f6 c1g5 f6e4 g5f4 g7g5,
A45,"Edge Variation, Trompowsky",d2d4 g8f6 c1g5 f6e4 g5h4,
A45,"Hergert Gambit #2, Trompowsky",d2d4 g8f6 c1g5 f6e4 g5h4 c7c6 b1d2 d8a5 c2c3 e4d2 d1d2 d7d5 e2e4,
A45,"Hergert Gambit #1, Trompowsky",d2d4 g8f6 c1g5 f6e4 g5h4 d7d5 f2f3 e4f6 b1c3 c8f5 e2e4,
A45,"Raptor Variation, Trompowsky",d2d4 g8f6 c1g5 f6e4 h2h4,
A45,"Hergert Gambit, Trompowsky",d2d4 g8f6 c1g5 f6e4 h2h4 e4g5 h4g5 e7e5,
A50,"Normal Variation, Indian Game; A50",d2d4 g8f6 c2c4,
A50,Pyrenees Gambit,d2d4 g8f6 c2c4 b7b5,
A50,Queen's Indian Defense; Saemisch-Indian,d2d4 g8f6 c2c4 b7b6,
A56,Hromadka Defense; Loose Gambit: A56,d2d4 g8f6 c2c4 c7c5,
A57,Benko Gambit; Volga; Opocensky; Vaitonis; A57,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5,
A57,"Sosonko Variation, Benko Gambit",d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 a2a4,
A57,"Bishop Attack, Benko Gambit",d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c1g5,
A57,Benko Gambit Accepted,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5,
A57,"Pawn Return Variation, Benko Gambit",d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b5b6,
A58,"Fully Accepted Variation, Benko Gambit; A58",d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b5a6,
A59,A59,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b5a6 c8a6 b1c3 d7d6 e2e4,
A59,"King Walk Variation, Benko Gambit",d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b5a6 c8a6 b1c3 d7d6 e2e4 a6f1 e1f1 g7g6 g2g3 f8g7 f1g2 e8g8,
A57,"Central Storming Variation, Benko Gambit",d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b5a6 c8a6 b1c3 d7d6 f2f4,
A58,"Fianchetto Variation, Benko Gambit",d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b5a6 c8a6 b1c3 g7g6 g1f3 d7d6 g2g3 f8g7 f1g2,
A57,"Modern Variation, Benko Gambit",d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 e2e3,
A57,"Dlugy Variation, Benko Gambit",d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 f2f3,
A57,"Zaitsev System, Benko Gambit",d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b1c3,
A57,"Nescafe Frappe Attack, Benko Gambit",d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b1c3 a6b5 e2e4 b5b4 c3b5,
A57,"Zaitsev Variation, Benko Gambit",d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b1c3 a6b5 e2e4 b5b4 c3b5 d7d6 g1f3 g7g6 f1c4,
A57,Benko Gambit Declined; Hjoerring Countergambit,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 e2e4,
A57,"Pseudo-Saemisch, Benko Gambit",d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 f2f3,
A57,"Mutkin Countergambit, Benko Gambit",d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 g2g4,
A57,"Quiet Line, Benko Gambit",d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 b1d2,
A57,"Main Line, Benko Gambit Declined",d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 g1f3,
A56,"Hromadka System, Benoni",d2d4 g8f6 c2c4 c7c5 d4d5 d7d6,
A56,Lundin; Bronstein Counter-Gambit,d2d4 g8f6 c2c4 c7c5 d4d5 d7d6 b1c3 g7g6 e2e4 b7b5,
A56,Petrosian System; Czech Benoni Defense,d2d4 g8f6 c2c4 c7c5 d4d5 e7e5,
A56,"Czech Variation, Benoni",d2d4 g8f6 c2c4 c7c5 d4d5 e7e5 b1c3 d7d6 e2e4 f8e7,
A56,"King's Indian System, Benoni",d2d4 g8f6 c2c4 c7c5 d4d5 e7e5 b1c3 d7d6 e2e4 g7g6,
A60,"Tal Variation, Modern Variation, Benoni; A60",d2d4 g8f6 c2c4 c7c5 d4d5 e7e6,
A61,A61,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3,
A61,"Snake Variation, Benoni",d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 f8d6,
A60,Modern Benoni,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6,
A65,"King Pawn lines, Benoni; A65",d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4,
A66,"Pawn Storm Variation, Benoni; A66",d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 f2f4,
A67,"Taimanov Variation, Benoni; A67",d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 f2f4 f8g7 f1b5,
A66,"Mikenas V, Benoni",d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 f2f4 f8g7 e4e5,
A68,A68,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 f2f4 f8g7 g1f3,
A68,"Four Pawns Attack, Benoni",d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 f2f4 f8g7 g1f3 e8g8,
A69,A69,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 f2f4 f8g7 g1f3 e8g8 f1e2 f8e8,
A70,"Classical Variation, Benoni; A70",d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 g1f3,
A72,A72,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 g1f3 f8g7 f1e2,
A73,A73,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 g1f3 f8g7 f1e2 e8g8 e1g1,
A74,A74,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 g1f3 f8g7 f1e2 e8g8 e1g1 a7a6,
A75,"Argentine Attack, Benoni; A75",d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 g1f3 f8g7 f1e2 e8g8 e1g1 a7a6 a2a4 c8g4,
A76,"Czerniak Defesne, Benoni; A76",d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 g1f3 f8g7 f1e2 e8g8 e1g1 f8e8,
A77,A77,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 g1f3 f8g7 f1e2 e8g8 e1g1 f8e8 f3d2,
A78,A78,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 g1f3 f8g7 f1e2 e8g8 e1g1 f8e8 f3d2 b8a6,
A79,A79,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 g1f3 f8g7 f1e2 e8g8 e1g1 f8e8 f3d2 b8a6 f2f3,
A71,A71,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 g1f3 f8g7 c1g5,
A61,"Uhlmann Variation, Benoni",d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 g1f3 g7g6 c1g5,
A62,A62,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 g1f3 g7g6 g2g3,
A62,"Fianchetto Variation, Benoni",d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 g1f3 g7g6 g2g3 f8g7 f1g2,
A63,A63,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 g1f3 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 a7a6,
A64,A64,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 g1f3 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 a7a6 a2a4 b8d7 f3d2,
A62,"Hastings Defense, Benoni",d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 g1f3 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 b8d7,
A61,"Nimzovich Variation, Knight's Tour Variation, Benoni",d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 g1f3 g7g6 f3d2,
A56,Vulture Variation; Der Geier,d2d4 g8f6 c2c4 c7c5 d4d5 f6e4,
A56,"Weenink Variation, Benoni",d2d4 g8f6 c2c4 c7c5 d4c5 e7e6,
A53,Old Indian Defense; Chigorin Indian Defense; A53,d2d4 g8f6 c2c4 d7d6,
A53,Aged Gibbon Gambit,d2d4 g8f6 c2c4 d7d6 g2g4,
A53,"Janowski Variation, Old Indian",d2d4 g8f6 c2c4 d7d6 b1c3 c8f5,
A53,"Grinberg Gambit, Old Indian",d2d4 g8f6 c2c4 d7d6 b1c3 c8f5 e2e4,
A53,Ukranian Variation,d2d4 g8f6 c2c4 d7d6 b1c3 e7e5,
A54,"Two Knights Variation, Old Indian; A54",d2d4 g8f6 c2c4 d7d6 b1c3 e7e5 g1f3,
A55,"Normal Variation, Old Indian; A55",d2d4 g8f6 c2c4 d7d6 b1c3 e7e5 g1f3 b8d7 e2e4,
A53,Duz-Khotimirsky Variation,d2d4 g8f6 c2c4 d7d6 b1c3 b8d7 e2e3 e7e5 f1d3,
A53,Tartakower-Indian,d2d4 g8f6 c2c4 d7d6 g1f3 c8g4,
A51,Budapest Defense; A51,d2d4 g8f6 c2c4 e7e5,
A51,"Fajarowicz Variation, Budapest",d2d4 g8f6 c2c4 e7e5 d4e5 f6e4,
A51,"Bonsdorf Variation, Budapest",d2d4 g8f6 c2c4 e7e5 d4e5 f6e4 a2a3 b7b6,
A51,"Steiner Variation, Budapest",d2d4 g8f6 c2c4 e7e5 d4e5 f6e4 d1c2,
A52,"Normal Variation, Budapest; A52",d2d4 g8f6 c2c4 e7e5 d4e5 f6g4,
A52,"Rubinstein Variation, Budapest",d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 c1f4,
A52,"Kornl Richter Gambit, Budapest",d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 c1f4 b8c6 g1f3 f8b4 b1c3 b4c3,
A52,"Center Play Variation, Budapest; Alekhine Variation",d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 e2e4,
A52,"Balogh; Tartakower C-G, Budapest",d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 e2e4 d7d6,
A52,"Barmina Gambit, Budapest",d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 e2e4 g4e5 f2f4 f8c5,
A52,"Wikstrom Gambit, Budapest",d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 e2e4 g4e5 f2f4 b8c6,
A52,"Abonyi Variation, Budapest",d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 e2e4 g4e5 f2f4 e5c6,
A52,"Adler Variation, Budapest",d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 g1f3,
E00,East Indian Defense; E00,d2d4 g8f6 c2c4 e7e6,
E00,Seirawan Attack,d2d4 g8f6 c2c4 e7e6 c1g5,
E00,Catalan Opening,d2d4 g8f6 c2c4 e7e6 g2g3,
E01,E01,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5,
E06,"Closed Variation, Catalan",d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2,
E06,E06,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7,
E07,E07,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7 g1f3 e8g8 e1g1 b8d7,
E07,"Botvinnik Variation, Catalan",d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7 g1f3 e8g8 e1g1 b8d7 b1c3 c7c6 d1d3,
E08,E08,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7 g1f3 e8g8 e1g1 b8d7 d1c2,
E09,E09,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7 g1f3 e8g8 e1g1 b8d7 d1c2 c7c6 b1d2,
E08,"Zagoriansky Variation, Catalan",d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7 g1f3 e8g8 e1g1 b8d7 d1c2 c7c6 f1d1 b7b6 a2a4,
E06,"Tarrasch Defense, Catalan",d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 c7c5 g1f3 b8c6,
E02,E02,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4,
E04,"Open Defense, Catalan; E04",d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4 g1f3,
E05,"Classical Line, Catalan; E05",d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4 g1f3 f8e7,
E05,"Modern Sharp Variation, Catalan",d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4 g1f3 b8c6 d1a4 f8b4,
E03,E03,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4 d1a4 b8d7 a4c4,
E03,"Alekhine Variation, Catalan",d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4 d1a4 b8d7 a4c4 a7a6 c4c2,
E00,"Hungarian Gambit, Catalan",d2d4 g8f6 c2c4 e7e6 g2g3 e6e5,
E00,"Devin Gambit, Catalan",d2d4 g8f6 c2c4 e7e6 g2g4,
E20,E20,d2d4 g8f6 c2c4 e7e6 b1c3,
E20,Nimzo-Indian Defense,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4,
E24,"Saemisch Variation, Nimzo-Indian; E24",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 a2a3,
E24,"Accelerated Saemisch Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 a2a3 b4c3 b2c3,
E26,"Saemisch Variation, Nimzo-Indian; E26",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 a2a3 b4c3 b2c3 c7c5 e2e3,
E26,"O'Kelly Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 a2a3 b4c3 b2c3 c7c5 e2e3 b7b6,
E26,"Capablanca Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 a2a3 b4c3 b2c3 c7c5 e2e3 b8c6 f1d3 e8g8 g1e2 b7b6 e3e4 f6e8,
E25,E25,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 a2a3 b4c3 b2c3 c7c5 f2f3 d7d5 c4d5,
E25,"Keres Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 a2a3 b4c3 b2c3 c7c5 f2f3 d7d5 c4d5 f6d5 d4c5,
E25,"Romanovsky Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 a2a3 b4c3 b2c3 c7c5 f2f3 d7d5 c4d5 f6d5 d4c5 f7f5,
E24,"Botvinnik Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 a2a3 b4c3 b2c3 c7c5 f2f3 d7d5 e2e3 e8g8 c4d5 f6d5,
E27,E27,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 a2a3 b4c3 b2c3 e8g8,
E28,E28,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 a2a3 b4c3 b2c3 e8g8 e2e3,
E29,E29,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 a2a3 b4c3 b2c3 e8g8 e2e3 c7c5 f1d3 b8c6,
E29,"Capablanca Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 a2a3 b4c3 b2c3 e8g8 e2e3 c7c5 f1d3 b8c6 g1e2 b7b6 e3e4 f6e8,
E30,"Leningrad Variation, Nimzo-Indian; E30",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 c1g5,
E30,"Averbakh Gambit, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 c1g5 h7h6 g5h4 c7c5 d4d5 b7b5,
E31,"Benoni Defense, Nimzo-Indian; E31",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 c1g5 h7h6 g5h4 c7c5 d4d5 d7d6,
E40,"Rubinstein Variation, Nimzo-Indian; E40",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3,
E43,"St. Petersburg Variation, Nimzo-Indian; E43",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6,
E44,"Fischer Variation, Nimzo-Indian; E44",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6 g1e2,
E45,"Bronstein Variation, Nimzo-Indian; E45; Byrne Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6 g1e2 c8a6,
E41,"Huebner Variation, Nimzo-Indian; E41",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5,
E41,"Huebner Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 f1d3 b8c6 g1f3 b4c3,
E42,"Rubinstein Variation, Nimzo-Indian; E42",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 g1e2,
E42,"Sherbakov Attack, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 g1e2 c5d4 e3d4 e8g8 c4c5,
E41,"Panov Attack, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 g1f3 c5d4 e3d4 d7d5,
E40,"Keres Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 d7d5 a2a3 b4c3 b2c3 c7c5 c4d5 e6d5 f1d3 e8g8 g1e2 b7b6,
E40,"Taimanov Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b8c6,
E40,"Ragozin Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b8c6 g1f3 e8g8 f1d3 d7d5 e1g1 d5c4,
E46,"Normal Variation, Nimzo-Indian; E46",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8,
E47,"Bishop Attack, Nimzo-Indian; E47",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3,
E48,"Classical Defense, Nimzo-Indian; E48",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5,
E49,"Botvinnik System, Nimzo-Indian; E49",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 a2a3 b4c3 b2c3,
E48,"Olafsson Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 c7c5 e1g1 d5c4 d3c4 b7b6 d1e2 c8b7 f1d1 d8c8,
E48,"Bronstein Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 c7c5 e1g1 d5c4 d3c4 c8d7,
E48,"Bronstein Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 c7c5 e1g1 d5c4 d3c4 b8d7 c3e2,
E48,"Smyslov Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 c7c5 e1g1 d5c4 d3c4 d8e7,
E46,"Reshevsky Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1e2,
E46,"Simagin Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1e2 d7d5 a2a3 b4d6,
E50,E50,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1f3,
E50,"Huebner Deferred, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1f3 c7c5,
E51,"Ragozin Variation, Nimzo-Indian; E51",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1f3 d7d5,
E51,"Saemisch Deferred, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1f3 d7d5 a2a3,
E52,"Schlechter Defense, Nimzo-Indian; E52",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1f3 d7d5 f1d3 b7b6,
E53,Bernstein Defense; Gligoric System; E53,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1f3 d7d5 f1d3 c7c5,
E53,"Keres Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1f3 d7d5 f1d3 c7c5 e1g1 b7b6,
E54,E54,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1f3 d7d5 f1d3 c7c5 e1g1 d5c4 d3c4,
E55,"Bronstein Variation, Nimzo-Indian; E55",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1f3 d7d5 f1d3 c7c5 e1g1 d5c4 d3c4 b8d7,
E55,"Smyslov Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1f3 d7d5 f1d3 c7c5 e1g1 d5c4 d3c4 d8e7,
E56,"Bernstein Variation, Nimzo-Indian; E56",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1f3 d7d5 f1d3 c7c5 e1g1 b8c6,
E58,E58,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1f3 d7d5 f1d3 c7c5 e1g1 b8c6 a2a3 b4c3 b2c3,
E59,E59,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1f3 d7d5 f1d3 c7c5 e1g1 b8c6 a2a3 b4c3 b2c3 d5c4 d3c4,
E57,E57,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1f3 d7d5 f1d3 c7c5 e1g1 b8c6 a2a3 d5c4 d3c4 c5d4,
E46,"Reshevsky Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1e2,
E46,"Simagin Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1e2 d7d5 a2a3 b4d6,
E20,"Kmoch Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 f2f3,
E20,"Steiner Variation, Nimzo-Indian; Romanishin Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g2g3,
E21,"Three Knights Variation, Nimzo-Indian; E21",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3,
E21,"Korchnoi Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 c7c5 d4d5,
