B00,King's Pawn Opening; B00,e2e4,
A20,King's English; A20,c2c4 e7e5,
A20,"Kahiko-Hula Gambit, English",c2c4 e7e5 e2e3 g8f6 f2f4 e5f4 g1f3,
A20,"Double Whammy, English",c2c4 e7e5 f2f4,
A20,"Drill Variation, English",c2c4 e7e5 g2g3 h7h5,
A21,"Reversed Sicilian, English; A21",c2c4 e7e5 b1c3,
A21,"Kramnik-Shirov Variation, English",c2c4 e7e5 b1c3 f8b4,
A21,"Troger Variation, English",c2c4 e7e5 b1c3 d7d6 g2g3 c8e6 f1g2 b8c6,
A21,"Keres Defense, English",c2c4 e7e5 b1c3 d7d6 g2g3 c7c6,
A21,"General Variation, King's English",c2c4 e7e5 b1c3 d7d6 g1f3,
A21,"Smyslov Variation, English",c2c4 e7e5 b1c3 d7d6 g1f3 c8g4,
A21,Anglo-Dutch,c2c4 e7e5 b1c3 f7f5,
A25,"Reversed Closed Sicilian, English; A25",c2c4 e7e5 b1c3 b8c6,
A25,"Troger Variation, English",c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2,
A25,"Taimanov Variation, English",c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7,
A25,"Hungarian Attack, English",c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 a1b1,
A26,"Closed System, King's English; A26",c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 d2d3,
A25,"Closed System, Full Symmetry, King's English",c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 d2d3 d7d6,
A25,"Botvinnik System, King's English",c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 d2d3 d7d6 e2e4,
A25,"Bremen-Hort Variation, English",c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 e2e3 d7d6 g1e2 c8e6,
A25,"Botvinnik Variation, English",c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 e2e4,
A27,"Three Knights System, English; A27",c2c4 e7e5 b1c3 b8c6 g1f3,
A28,"Four Knights Variation, English; A28",c2c4 e7e5 b1c3 b8c6 g1f3 g8f6,
A28,"Korchnoi Line, English",c2c4 e7e5 b1c3 b8c6 g1f3 g8f6 a2a3,
